buyer_id,company,contact_person,phone,state,district,industry_type,residue_required,qty_required_ton,price_offer_ton,pickup_available,latitude,longitude
B001,Green Biofuel Pvt Ltd,Amit Sharma,9123456701,Maharashtra,Pune,Biomass Plant,Rice Straw,100,2100,Yes,18.5204,73.8567
B002,Agro Compost Industry,Rajesh Patil,9123456702,Maharashtra,Nashik,Compost Plant,Wheat Straw,80,1900,Yes,19.9975,73.7898
B003,BioEnergy Solutions,Suresh Gupta,9123456703,Maharashtra,Nagpur,Biomass Plant,Cotton Stalk,120,2000,Yes,21.1458,79.0882
B004,Organic Fertilizer Ltd,Sunil Deshmukh,9123456704,Maharashtra,Kolhapur,Compost Plant,Sugarcane Trash,90,2050,Yes,16.7050,74.2433
B005,Green Fuel Industries,Vikas Jadhav,9123456705,Maharashtra,Solapur,Biofuel Plant,Wheat Straw,70,1850,Yes,17.6599,75.9064
B006,Agri Waste Power Pvt Ltd,Rahul Patil,9123456706,Maharashtra,Sangli,Biomass Plant,Sugarcane Trash,110,2100,Yes,16.8524,74.5815
B007,Renew BioEnergy,Karan Singh,9123456707,Maharashtra,Satara,Biomass Plant,Rice Straw,95,2000,Yes,17.6805,74.0183
B008,Green Compost Works,Ashok More,9123456708,Maharashtra,Ahmednagar,Compost Plant,Maize Stover,60,1800,Yes,19.0948,74.7480
B009,Bio Organic Fertilizers,Nitin Pawar,9123456709,Maharashtra,Jalgaon,Compost Plant,Banana Residue,85,1750,Yes,21.0077,75.5626
B010,Agro Biomass Energy,Manoj Shinde,9123456710,Maharashtra,Amravati,Biomass Plant,Cotton Stalk,130,2050,Yes,20.9374,77.7796
B011,Green Power Biofuel,Sachin Patil,9123456711,Maharashtra,Yavatmal,Biofuel Plant,Cotton Stalk,120,2000,Yes,20.3888,78.1204
B012,Agri Waste Solutions,Rajesh Sharma,9123456712,Maharashtra,Beed,Compost Plant,Soybean Residue,75,1700,Yes,18.9891,75.7601
B013,BioFuel Agro Ltd,Ajay Deshmukh,9123456713,Maharashtra,Latur,Biofuel Plant,Soybean Residue,90,1750,Yes,18.4088,76.5604
B014,Green Earth Compost,Vikas Patil,9123456714,Maharashtra,Nanded,Compost Plant,Cotton Stalk,80,1800,Yes,19.1383,77.3210
B015,Biomass Energy India,Amit Gupta,9123456715,Maharashtra,Aurangabad,Biomass Plant,Maize Stover,110,1950,Yes,19.8762,75.3433
B016,Organic Waste Energy,Sunil Pawar,9123456716,Maharashtra,Osmanabad,Biofuel Plant,Soybean Residue,85,1700,Yes,18.1861,76.0419
B017,Green Agro Energy,Sagar Jadhav,9123456717,Maharashtra,Parbhani,Biomass Plant,Cotton Stalk,100,1900,Yes,19.2608,76.7743
B018,Renewable Fuel Pvt Ltd,Prakash Patil,9123456718,Maharashtra,Washim,Biofuel Plant,Soybean Residue,95,1750,Yes,20.1110,77.1330
B019,Agro Bio Plant,Rohit Sharma,9123456719,Maharashtra,Buldhana,Biomass Plant,Soybean Residue,90,1750,Yes,20.5292,76.1841
B020,Bio Green Energy,Sachin More,9123456720,Maharashtra,Akola,Biofuel Plant,Soybean Residue,85,1700,Yes,20.7096,77.0027
B021,Organic Power Ltd,Nikhil Deshmukh,9123456721,Maharashtra,Wardha,Biomass Plant,Cotton Stalk,100,1900,Yes,20.7453,78.6022
B022,Green Bio Industries,Ajit Patil,9123456722,Maharashtra,Chandrapur,Biomass Plant,Rice Straw,120,2050,Yes,19.9615,79.2961
B023,Agro Waste Compost,Rahul Pawar,9123456723,Maharashtra,Gadchiroli,Compost Plant,Rice Straw,90,1900,Yes,20.1809,80.0000
B024,Bio Renewable Energy,Sagar Patil,9123456724,Maharashtra,Dhule,Biofuel Plant,Wheat Straw,70,1850,Yes,20.9042,74.7749
B025,Green Organic Compost,Vikas Sharma,9123456725,Maharashtra,Nandurbar,Compost Plant,Maize Stover,60,1800,Yes,21.3660,74.2400
B026,Biomass Green Energy,Sachin Shinde,9123456726,Maharashtra,Ratnagiri,Biomass Plant,Rice Straw,95,2000,Yes,16.9902,73.3120
B027,Renew Fuel Industries,Amit Pawar,9123456727,Maharashtra,Sindhudurg,Biofuel Plant,Coconut Residue,75,1800,Yes,16.3492,73.5594
B028,Agri Bio Power,Nitin Patil,9123456728,Maharashtra,Thane,Biomass Plant,Maize Stover,85,1850,Yes,19.2183,72.9781
B029,Bio Agro Fertilizers,Rajesh Deshmukh,9123456729,Maharashtra,Palghar,Compost Plant,Rice Straw,80,1900,Yes,19.6967,72.7699
B030,Green Waste Energy,Ajay Jadhav,9123456730,Maharashtra,Mumbai,Biofuel Plant,Organic Waste,100,2000,Yes,19.0760,72.8777
B031,Biomass Agro Ltd,Karan Sharma,9123456731,Maharashtra,Pune,Biomass Plant,Sugarcane Trash,120,2100,Yes,18.5204,73.8567
B032,Organic Compost India,Sachin Pawar,9123456732,Maharashtra,Nashik,Compost Plant,Wheat Straw,80,1900,Yes,19.9975,73.7898
B033,Renew BioFuel Pvt Ltd,Prakash Jadhav,9123456733,Maharashtra,Nagpur,Biofuel Plant,Cotton Stalk,110,2000,Yes,21.1458,79.0882
B034,Agri Biomass Energy,Rahul Deshmukh,9123456734,Maharashtra,Kolhapur,Biomass Plant,Sugarcane Trash,100,2050,Yes,16.7050,74.2433
B035,Bio Green Power,Sunil Patil,9123456735,Maharashtra,Solapur,Biofuel Plant,Wheat Straw,70,1850,Yes,17.6599,75.9064
B036,Organic Energy Ltd,Ajay Pawar,9123456736,Maharashtra,Sangli,Biomass Plant,Sugarcane Trash,110,2100,Yes,16.8524,74.5815
B037,Green Agro BioFuel,Rohit Patil,9123456737,Maharashtra,Satara,Biofuel Plant,Rice Straw,90,2000,Yes,17.6805,74.0183
B038,Bio Waste Compost,Nikhil Pawar,9123456738,Maharashtra,Ahmednagar,Compost Plant,Maize Stover,60,1800,Yes,19.0948,74.7480
B039,Agro Bio Energy,Sagar Shinde,9123456739,Maharashtra,Jalgaon,Biomass Plant,Banana Residue,85,1750,Yes,21.0077,75.5626
B040,Green Bio Power,Amit Sharma,9123456740,Maharashtra,Amravati,Biofuel Plant,Cotton Stalk,130,2050,Yes,20.9374,77.7796
B041,BioFuel Industries India,Rajesh Pawar,9123456741,Maharashtra,Yavatmal,Biofuel Plant,Cotton Stalk,120,2000,Yes,20.3888,78.1204
B042,Green Renewable Energy,Sunil Jadhav,9123456742,Maharashtra,Beed,Compost Plant,Soybean Residue,75,1700,Yes,18.9891,75.7601
B043,Biomass Power Pvt Ltd,Ajit Patil,9123456743,Maharashtra,Latur,Biomass Plant,Soybean Residue,90,1750,Yes,18.4088,76.5604
B044,Organic Waste Fuel,Rahul Patil,9123456744,Maharashtra,Nanded,Biofuel Plant,Cotton Stalk,80,1800,Yes,19.1383,77.3210
B045,Green Agro Compost,Vikas Pawar,9123456745,Maharashtra,Aurangabad,Compost Plant,Maize Stover,110,1950,Yes,19.8762,75.3433
B046,Renewable Agro Fuel,Sachin Deshmukh,9123456746,Maharashtra,Osmanabad,Biofuel Plant,Soybean Residue,85,1700,Yes,18.1861,76.0419
